Pairings:
C908: P730
C284: P530
C214: P941
C577: P738
C389: P913
C632: P207
C108: P180
C578: P143
C124: P447
C626: P404
C925: P707
C315: P18
C564: P62
C677: P53
C537: P286
C68: P702
C766: P140
C569: P7
C236: P937
C575: P660
C807: P450
C206: P549
C931: P957
C638: P965
C814: P992
C116: P599
C94: P774
C662: P720
C518: P413
C49: P641
C803: P242
C508: P656
C521: P862
C321: P792
C250: P50
C819: P800
C430: P698
C542: P188
C881: P145
C664: P618
C107: P316
C479: P492
C884: P403
C53: P914
C829: P704
C35: P466
C95: P728
C623: P212
C304: P791
C228: P773
C837: P666
C58: P810
C852: P347
C933: P942
C96: P984
C445: P292
C417: P634
C676: P414
C993: P259
C60: P609
C358: P931
C385: P353
C613: P260
C620: P319
C624: P95
C133: P4
C579: P179
C499: P848
C496: P963
C652: P209
C316: P488
C300: P555
C865: P192
C166: P788
C72: P531
C991: P91
C459: P256
C878: P898
C703: P670
C971: P959
C900: P789
C128: P368
C495: P135
C690: P345
C347: P831
C422: P847
C0: P170
C611: P496
C929: P828
C870: P693
C775: P564
C234: P467
C941: P250
C272: P952
C497: P741
C330: P328
C604: P66
C644: P248
C540: P231
C8: P125
C366: P407
C601: P431
C621: P150
C491: P827
C18: P772
C40: P540
C379: P277
C918: P117
C560: P87
C962: P558
C872: P3
C691: P126
C21: P622
C27: P621
C793: P814
C639: P901
C515: P410
C646: P97
C156: P935
C462: P175
C717: P433
C893: P294
C980: P804
C410: P149
C294: P331
C746: P966
C141: P465
C596: P897
C609: P596
C25: P397
C906: P346
C85: P26
C65: P639
C448: P324
C566: P342
C344: P840
C666: P905
C917: P854
C667: P419
C265: P161
C197: P306
C298: P38
C838: P763
C721: P153
C848: P528
C23: P221
C912: P329
C978: P116
C510: P211
C753: P389
C573: P312
C440: P727
C475: P151
C390: P244
C705: P304
C965: P884
C707: P485
C176: P565
C332: P186
C19: P511
C994: P391
C713: P494
C441: P710
C126: P245
C642: P973
C283: P315
C507: P883
C710: P171
C802: P593
C657: P428
C988: P109
C98: P93
C678: P449
C322: P759
C346: P178
C482: P922
C836: P489
C661: P878
C955: P185
C608: P734
C905: P81
C443: P102
C376: P945
C997: P51
C914: P505
C393: P771
C570: P270
C311: P980
C363: P104
C907: P461
C246: P415
C934: P578
C883: P544
C612: P521
C218: P427
C595: P726
C942: P264
C505: P979
C414: P163
C727: P888
C87: P173
C504: P899
C207: P57
C384: P501
C254: P160
C420: P361
C483: P782
C84: P819
C592: P445
C920: P30
C375: P421
C56: P954
C438: P356
C267: P896
C786: P520
C833: P130
C373: P503
C103: P744
C123: P975
C326: P519
C715: P615
C341: P323
C349: P340
C687: P550
C757: P69
C863: P535
C45: P456
C543: P586
C233: P218
C82: P761
C535: P205
C215: P604
C913: P435
C985: P155
C975: P195
C306: P425
C421: P962
C943: P668
C530: P654
C227: P733
C3: P630
C743: P981
C740: P41
C871: P112
C919: P700
C513: P839
C832: P563
C426: P451
C641: P737
C734: P156
C926: P108
C105: P468
C590: P105
C514: P928
C473: P123
C351: P83
C580: P198
C7: P760
C875: P832
C216: P360
C827: P124
C381: P850
C296: P635
C850: P354
C232: P736
C702: P379
C241: P747
C31: P296
C203: P944
C533: P925
C695: P78
C404: P665
C157: P5
C915: P523
C812: P438
C987: P714
C290: P552
C922: P201
C411: P750
C860: P305
C6: P938
C223: P674
C936: P921
C276: P562
C127: P381
C494: P476
C249: P443
C704: P251
C396: P68
C266: P333
C63: P684
C890: P439
C429: P28
C407: P11
C455: P165
C953: P967
C54: P752
C857: P796
C442: P76
C74: P509
C269: P920
C293: P20
C398: P60
C986: P539
C357: P515
C498: P355
C59: P471
C117: P332
C270: P240
C723: P510
C336: P506
C995: P841
C968: P805
C706: P776
C763: P735
C260: P252
C844: P655
C83: P697
C969: P688
C735: P398
C974: P285
C458: P907
C367: P852
C281: P284
C478: P45
C502: P206
C150: P96
C253: P691
C121: P98
C161: P275
C372: P200
C480: P25
C485: P412
C789: P10
C470: P392
C529: P681
C625: P16
C976: P951
C593: P213
C961: P692
C745: P798
C183: P300
C958: P84
C672: P678
C898: P790
C244: P470
C142: P650
C964: P746
C631: P405
C534: P518
C325: P31
C694: P842
C853: P196
C450: P291
C598: P988
C463: P534
C252: P838
C88: P743
C238: P99
C654: P67
C864: P620
C774: P902
C750: P376
C388: P136
C923: P40
C365: P717
C468: P858
C536: P101
C394: P779
C301: P227
C333: P522
C984: P268
C524: P647
C229: P154
C714: P778
C182: P380
C194: P73
C196: P357
C634: P283
C137: P673
C516: P644
C605: P440
C432: P359
C219: P640
C435: P869
C66: P787
C172: P223
C585: P628
C684: P661
C651: P480
C840: P118
C555: P303
C563: P910
C548: P56
C382: P976
C771: P254
C842: P580
C610: P699
C804: P269
C20: P183
C323: P927
C806: P487
C33: P341
C747: P889
C37: P308
C70: P632
C682: P802
C567: P574
C418: P751
C377: P280
C576: P370
C629: P807
C152: P811
C487: P846
C112: P230
C749: P865
C312: P121
C830: P861
C981: P129
C799: P13
C451: P137
C843: P423
C648: P723
C492: P371
C314: P491
C361: P351
C760: P111
C178: P964
C317: P729
C13: P617
C138: P582
C668: P657
C135: P740
C129: P128
C656: P557
C291: P373
C148: P712
C274: P716
C784: P508
C572: P295
C551: P187
C328: P977
C927: P365
C110: P879
C146: P343
C4: P216
C785: P672
C658: P272
C522: P724
C465: P513
C756: P686
C801: P429
C538: P543
C653: P141
C78: P875
C959: P662
C979: P203
C880: P642
C466: P194
C826: P478
C841: P350
C343: P915
C568: P27
C193: P909
C904: P290
C718: P970
C599: P631
C911: P755
C558: P228
C688: P687
C477: P106
C38: P349
C685: P891
C22: P872
C619: P844
C636: P675
C447: P749
C362: P583
C647: P706
C949: P651
C277: P103
C956: P768
C273: P409
C597: P623
C874: P794
C378: P479
C225: P545
C817: P177
C787: P885
C674: P597
C741: P713
C173: P71
C557: P338
C938: P263
C736: P575
C205: P500
C910: P939
C692: P424
C81: P234
C188: P936
C896: P383
C61: P870
C970: P835
C751: P989
C725: P462
C195: P948
C476: P265
C552: P220
C337: P395
C461: P972
C783: P52
C50: P29
C154: P705
C966: P385
C732: P453
C52: P430
C574: P608
C761: P570
C309: P89
C796: P191
C15: P75
C549: P334
C582: P830
C553: P384
C113: P524
C100: P386
C331: P517
C262: P715
C92: P708
C155: P882
C305: P923
C813: P297
C348: P422
C778: P856
C939: P255
C47: P876
C486: P469
C212: P396
C350: P825
C454: P890
C909: P867
C887: P85
C57: P996
C434: P43
C768: P348
C490: P393
C675: P229
C115: P663
C489: P652
C839: P874
C828: P444
C546: P387
C2: P169
C427: P866
C287: P769
C231: P974
C855: P224
C132: P934
C437: P695
C416: P762
C44: P484
C158: P181
C777: P362
C810: P590
C209: P781
C700: P637
C897: P202
C780: P448
C630: P481
C119: P464
C75: P982
C286: P80
C48: P1
C102: P367
C637: P932
C720: P132
C9: P602
C41: P131
C633: P871
C402: P2
C762: P114
C825: P420
C792: P65
C190: P266
C528: P784
C109: P402
C386: P483
C175: P32
C360: P442
C940: P857
C921: P906
C144: P210
C847: P916
C295: P946
C77: P301
C818: P629
C901: P311
C584: P677
C251: P864
C444: P559
C526: P307
C17: P14
C130: P0
C319: P529
C737: P119
C591: P497
C932: P115
C680: P490
C983: P6
C370: P826
C235: P133
C527: P994
C303: P457
C226: P911
C164: P47
C80: P77
C663: P526
C544: P59
C815: P721
C261: P924
C71: P281
C950: P648
C211: P560
C500: P983
C64: P452
C39: P100
C882: P732
C509: P298
C239: P568
C353: P147
C159: P217
C683: P694
C951: P168
C547: P436
C885: P475
C992: P527
C739: P809
C559: P949
C181: P793
C650: P969
C67: P418
C413: P940
C947: P567
C935: P598
C400: P473
C716: P374
C200: P246
C556: P9
C709: P176
C811: P605
C469: P863
C525: P237
C963: P273
C550: P337
C627: P904
C245: P182
C169: P72
C310: P711
C97: P159
C571: P554
C645: P401
C10: P533
C759: P321
C171: P215
C297: P546
C409: P659
C990: P817
C425: P579
C758: P339
C165: P577
C600: P801
C359: P645
C835: P587
C131: P167
C589: P276
C977: P999
C726: P671
C198: P472
C765: P753
C280: P643
C327: P241
C464: P157
C769: P851
C457: P146
C69: P434
C665: P58
C856: P152
C264: P683
C217: P561
C143: P267
C162: P993
C308: P646
C754: P39
C237: P786
C153: P235
C670: P917
C798: P88
C805: P619
C755: P613
C773: P780
C118: P601
C213: P426
C399: P886
C387: P243
C335: P94
C282: P833
C861: P991
C545: P783
C822: P649
C184: P278
C79: P120
C268: P718
C192: P330
C622: P722
C845: P929
C356: P288
C877: P669
C628: P584
C174: P514
C160: P313
C374: P460
C581: P138
C395: P633
C744: P79
C199: P834
C895: P190
C532: P542
C230: P679
C930: P310
C867: P626
C222: P767
C339: P696
C615: P477
C711: P719
C481: P822
C279: P808
C967: P843
C728: P262
C472: P758
C748: P893
C594: P829
C503: P366
C679: P953
C781: P493
C742: P836
C868: P184
C125: P612
C185: P474
C531: P956
C91: P309
C318: P933
C989: P971
C957: P795
C371: P873
C824: P495
C179: P37
C869: P364
C776: P274
C603: P204
C701: P756
C408: P322
C791: P197
C180: P908
C26: P22
C86: P868
C790: P261
C899: P748
C352: P394
C1: P610
C101: P49
C201: P592
C889: P299
C541: P538
C788: P482
C167: P591
C686: P943
C764: P624
C655: P110
C313: P607
C948: P36
C587: P411
C189: P859
C29: P189
C364: P134
C859: P998
C945: P894
C5: P742
C565: P63
C659: P823
C708: P603
C145: P754
C821: P739
C334: P64
C699: P955
C982: P113
C256: P144
C946: P271
C523: P766
C640: P238
C722: P725
C14: P352
C697: P454
C163: P594
C43: P569
C423: P463
C243: P232
C738: P853
C719: P314
C999: P34
C28: P158
C834: P148
C419: P638
C854: P803
C831: P46
C772: P249
C405: P548
C114: P986
C586: P813
C90: P926
C800: P33
C204: P127
C809: P17
C693: P400
C520: P406
C858: P820
C106: P253
C972: P589
C998: P35
C380: P703
C607: P486
